Titulo,Votos,Rating,Fechas,Year,Uploader,Tamanio,vistas
Deus Ex Human Revolution Directors Cut,10,3.9,25/10/13,2013,ElAmigos,61 GB,18489
Deus Ex Mankind Divided Digital Deluxe,14,4.14,23/08/16,2016,ElAmigos,46 GB,31515
Devil May Cry 3 Special Edition,26,4.38,23/05/06,2006,ElAmigos,03 GB,18902
Devil May Cry 4 Special Edition,27,4.48,23/06/15,2015,ElAmigos,77 GB,24508
Devil May Cry 5 Deluxe Edition,121,4.49,08/03/19,2019,ElAmigos,6 GB,135477
Devil May Cry HD Collection,26,4.42,13/03/18,2018,ElAmigos,3 GB,38199
Diablo,17,4.29,31/12/96,1996,ElAmigos,789 MB,21202
Dishonored GOTY,12,4.25,08/10/13,2013,ElAmigos,3 GB,19917
Distance,7,4.14,18/09/18,2018,ElAmigos,61 GB,8355
Distortions,6,2.67,02/03/18,2018,CODEX,7.95 GB,15399
DMC Devil May Cry,31,4.32,24/01/13,2013,ElAmigos,58 GB,28717
DOOM Complete Edition,44,4.41,13/05/16,2016,ElAmigos,46 GB,45088
Downward Spiral Horus Station,5,4,31/05/18,2018,CODEX,98 GB,5757
Dragon Age Inquisition Game of the Year Edition,22,4.32,21/11/14,2014,ElAmigos,37.5 GB,32094
DRAGON BALL FighterZ Ultimate Edition,149,4.29,26/01/18,2018,ElAmigos,6 GB,103638
Dragon Ball Xenoverse 2 Deluxe Edition,192,4.18,27/10/16,2016,ElAmigos,5 GB,134826
Dragon Ball Xenoverse Bundle Edition,40,4.05,26/02/15,2015,ElAmigos,66 GB,21278
Dragon Ball Z Kakarot Ultimate Edition + Update v1.04,42,4.14,16/01/20,2014,ElAmigos,4 GB,46953
Dragon Quest Heroes II Explorers Edition,4,3.5,25/04/17,2017,ElAmigos,35 GB,12093
Dragon Quest Heroes Slime Edition,13,3.77,03/12/15,2015,ElAmigos,67 GB,10807
Dragon Quest XI Echoes of an Elusive Age + CrackFix,70,4.46,04/09/18,2018,ElAmigos,3 GB,41923
Dream Alone,6,3.5,28/06/18,2018,ElAmigos,469 MB,4250
Dreamfall Chapters Complete Season,11,4.45,21/07/17,2017,ElAmigos,23 GB,7923
Dungeon Siege III Collection,9,4,16/06/11,2011,ElAmigos,54 GB,9280
Dying Light Ultimate Edition,46,4.41,09/02/16,2016,ElAmigos,4 GB,52675
Dynasty Warriors 7 Xtreme Legends Definitive Edition,3,4,06/12/18,2018,ElAmigos,8 GB,12708
Dynasty Warriors 9 + Update 1.04,14,4.14,13/02/18,2018,ElAmigos,33.2 GB,14292
Earthfall,21,3.43,12/07/18,2018,ElAmigos,76 GB,18219
ELEX,25,3.8,17/10/17,2017,ElAmigos,1 GB,19650
Enderal Forgotten Stories,,,15/02/19,,ElAmigos,1 GB,737
Endless Space 2 Deluxe Edition,12,3.67,18/05/17,2017,ElAmigos,51 GB,25080
Epic Mickey 2 The Power of Two,15,3.73,18/11/12,2012,ElAmigos,49 GB,35733
Eternity The Last Unicorn,12,4.17,05/03/19,2019,ElAmigos,97 GB,36088
Extinction Deluxe Edition,19,3.21,10/04/18,2018,ElAmigos,03 GB,16152
F.E.A.R. 2 Project Origin Complete,11,3.91,12/02/09,2019,ElAmigos,95 GB,35058
F1 2017 Special Edition,17,4.41,24/08/17,2017,ElAmigos,7 GB,9517
Fade to Silence + v1.0.2022 H2,41,3.71,30/04/19,2019,ElAmigos,2 GB,60860
Fallout 3 Game of the Year Edition,40,4.58,28/10/08,2008,ElAmigos,2 GB,37888
Fallout 4 Game of the Year Edition,64,4.48,10/11/15,2015,ElAmigos,9 GB,63238
Far Cry 3 COMPLETE COLLECTION,85,4.48,28/11/12,2012,ElAmigos,7.66 GB,61465
Far Cry 4 GOLD EDITION,49,4.45,20/11/14,2014,ElAmigos,3 GB,31290
Far Cry 5 Gold Edition,186,4.26,27/03/18,2018,ElAmigos,52 GB,57022
Far Cry New Dawn Deluxe Edition,67,3.87,15/02/19,2019,ElAmigos,6 GB,75725
Far Cry Primal Apex Edition,86,4.19,01/03/16,2016,ElAmigos,8 GB,74531
Fighting EX Layer,15,2.87,21/02/19,2019,ElAmigos,75 GB,25980
Final Fantasy IX,18,4.39,14/04/16,2016,ElAmigos,57 GB,14425
Final Fantasy Type 0 HD,16,4.19,18/08/15,2015,ElAmigos,78 GB,17308
Final Fantasy VIII Steam Edition,19,4.47,05/12/13,2013,ElAmigos,80 GB,11290
Final Fantasy X/X-2 HD Remaster,25,4.4,12/05/16,2016,ElAmigos,27 GB,20615
Final Fantasy XIII,15,4.4,09/10/14,2014,ElAmigos,03 GB,13687
Final Fantasy XIII-2,22,4.14,11/12/14,2014,ElAmigos,93 GB,11664
Final Fantasy XV Windows Edition,62,4.08,06/03/18,2018,ElAmigos,4 GB,56198
Formula Fusion,4,2.75,01/06/17,2017,ElAmigos,75 GB,5218
Gears 5 Ultimate Edition,51,4.06,18/09/19,2019,ElAmigos,3 GB,100633
Gears of War 4,54,4.04,11/10/16,2016,ElAmigos,9 GB,49657
Genesis Alpha One,15,3.73,29/01/19,2019,ElAmigos,7 GB,25114
Ghost of a Tale,23,3.43,13/03/18,2018,ElAmigos,11 GB,25674
Ghostbusters The Video Game Remastered,27,3.96,04/10/19,2019,ElAmigos,6 GB,43775
God Eater 3,18,4.11,07/02/19,2019,ElAmigos,8 GB,58510
Grand Theft Auto V,372,4.48,14/04/15,2015,ElAmigos,6 GB,119490
GreedFall,55,3.96,04/09/19,2019,ElAmigos,3 GB,74477
Grim Dawn,7,3.57,25/02/16,2016,ElAmigos,59 GB,11989
GRIP Combat Racing,6,3.5,06/11/18,2018,ElAmigos,88 GB,13417
Guns Gore and Cannoli 2,13,4.38,02/03/18,2018,RELOADED,33 GB,15094
GUTS,11,2.55,15/11/17,2017,PLAZA,17 GB,6083
Guts and Glory,12,3.08,19/07/18,2018,ElAmigos,55 GB,7746
Half Life 2 The Orange Box,12,4.5,16/11/04,2004,ElAmigos,85 GB,21032
Halo 2,40,4.13,09/05/07,2007,ElAmigos,46 GB,27678
Halo The Master Chief Collection,24,3.71,06/12/19,2020,ElAmigos,9 GB,25145
Hand of Fate 2,16,3.81,07/11/17,2017,ElAmigos,14 GB,3637
Harry Potter and the Deathly Hallows Collection,23,4.04,14/07/11,2011,ElAmigos,3 GB,17489
Harry Potter and the Half-Blood Prince,13,4.08,02/07/09,2009,ElAmigos,64 GB,11197
Harry Potter and the Order of the Phoenix,8,3.5,25/06/07,2007,ElAmigos,47 GB,8908
Harry Potter and the Prisoner of Azkaban,9,3.67,25/05/04,2004,ElAmigos,873 MB,8160
